OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,TotalParoRegistrado,PAD_1C02,PAD_1_COD_PROV,PAD_1_COD_CCAA,Shape__Area,Shape__Length,Codigop
10083,12111,Tírig,12,10,18.0,437.0,,,73268263.9443302,46734.9347097085,
10084,12112,Todolella,12,10,4.0,136.0,,,59272642.586982705,39694.129247951096,
10085,12113,Toga,12,10,6.0,89.0,,,23108247.511611897,26383.737842826602,
10086,12114,Torás,12,10,12.0,225.0,,,28573241.2592163,22835.404414981098,
10087,12115,"Toro, El",12,10,15.0,253.0,,,187365639.269806,73466.6355936974,
10088,12116,Torralba del Pinar,12,10,3.0,57.0,,,36151778.848175,28044.3871063268,
10089,12117,Torreblanca,12,10,445.0,5419.0,,,51348845.8355942,30167.7174696173,
10090,12118,Torrechiva,12,10,10.0,77.0,,,20241647.3753052,19576.5956043475,
10091,12119,"Torre d'En Besora, la",12,10,2.0,158.0,,,20440631.6267605,20132.6881957012,
10092,12120,"Torre d'en Doménec, la",12,10,9.0,198.0,,,5477770.33358574,9906.425880344741,
10093,12121,Traiguera,12,10,85.0,1434.0,,,103609858.042053,65436.969828489695,
10094,12122,"Useras/Useres, les",12,10,71.0,970.0,,,138373174.345406,57696.236384451906,
10095,12123,Vallat,12,10,3.0,50.0,,,8548436.60627747,12015.875211238,
10096,12124,Vall d'Alba,12,10,217.0,2781.0,,,90758862.27343579,42775.0984962227,
10097,12125,Vall de Almonacid,12,10,19.0,272.0,,,35926136.7104034,27181.9604538093,
10098,12126,"Vall d'Uixó, la",12,10,2653.0,31733.0,,,113830039.554001,47974.492589652305,
10099,12127,Vallibona,12,10,3.0,77.0,,,158695733.50864,59643.7632987429,
10100,12128,Vilafamés,12,10,106.0,1822.0,,,120534636.33726999,60813.852677530995,
10101,12129,Villafranca del Cid/Vilafranca,12,10,81.0,2267.0,,,162143472.243401,68278.8136403931,
10102,12130,Villahermosa del Río,12,10,16.0,477.0,,,186884314.497543,61631.96423528231,
10103,12131,Villamalur,12,10,2.0,62.0,,,33188389.4942169,27318.609548582,
10104,12132,Vilanova d'Alcolea,12,10,33.0,586.0,,,117840461.076904,59662.9003966416,
10105,12133,Villanueva de Viver,12,10,1.0,61.0,,,10163700.620636,17022.7819412328,
10106,12134,Vilar de Canes,12,10,2.0,177.0,,,27430978.6106014,24397.2415757463,
10107,12135,Vila-real,12,10,3998.0,50334.0,,,93856908.2430038,44685.019749166204,
10108,12136,"Vilavella, la",12,10,70.0,3215.0,,,10444346.6489487,15480.979104780301,
10109,12137,Villores,12,10,1.0,42.0,,,9233538.52836609,13961.920624191001,
10110,12138,Vinaròs,12,10,2351.0,28292.0,,,165101192.464233,70961.95630043041,
10111,12139,Vistabella del Maestrat,12,10,23.0,352.0,,,259927601.52495602,98755.3242014408,
10112,12140,Viver,12,10,105.0,1509.0,,,85011427.5005188,43202.2014964522,
10113,12141,Zorita del Maestrazgo,12,10,9.0,118.0,,,120027328.516621,55139.0617631305,
10114,12142,Zucaina,12,10,8.0,189.0,,,88320487.3453522,44391.080748167195,
10115,12901,Alquerías del Niño Perdido,12,10,164.0,4466.0,,,21670180.3194809,23041.2307151648,
10116,12902,Sant Joan de Moró,12,10,273.0,3084.0,,,49834489.858798996,39419.2915410381,
10117,13001,Abenójar,13,8,209.0,1438.0,,,699695973.541504,126060.113813003,
10118,13002,Agudo,13,8,178.0,1720.0,,,381395630.879639,98360.4354132916,
10119,13003,Alamillo,13,8,55.0,519.0,,,110562214.49585,47224.6006866488,
10120,13004,Albaladejo,13,8,177.0,1201.0,,,80270965.4125977,37786.4420132249,
10121,13005,Alcázar de San Juan,13,8,3102.0,30943.0,,,1114481622.99329,149615.14783997802,
10122,13006,Alcoba,13,8,68.0,610.0,,,513653045.200439,100244.376857076,
10123,13007,Alcolea de Calatrava,13,8,191.0,1458.0,,,117301115.55383301,61204.479150092004,
10124,13008,Alcubillas,13,8,44.0,493.0,,,78158165.3149414,33222.7004954493,
10125,13009,Aldea del Rey,13,8,160.0,1698.0,,,253872365.681396,77011.0323816807,
10126,13010,Alhambra,13,8,141.0,1009.0,,,959836768.0817869,259264.29350422602,
10127,13011,Almadén,13,8,779.0,5537.0,,,395179350.890381,125320.241301797,
10128,13012,Almadenejos,13,8,56.0,440.0,,,169498760.52050802,63208.82715529059,
10129,13013,Almagro,13,8,946.0,8983.0,,,412907575.833496,187882.67789703302,
10130,13014,Almedina,13,8,57.0,548.0,,,91717426.31726071,38587.8925748498,
10131,13015,Almodóvar del Campo,13,8,563.0,6273.0,,,1984213203.1853,343114.043468447,
10132,13016,Almuradiel,13,8,80.0,820.0,,,108098270.353882,46110.92034619059,
10133,13017,Anchuras,13,8,18.0,323.0,,,388089840.4104,85459.6515673321,
10134,13018,Arenas de San Juan,13,8,176.0,1051.0,,,105226070.56225601,47757.8446334154,
10135,13019,Argamasilla de Alba,13,8,892.0,6928.0,,,660064843.115845,122030.646984806,
10136,13020,Argamasilla de Calatrava,13,8,635.0,5924.0,,,273161354.10900897,70956.3506336554,
10137,13021,Arroba de los Montes,13,8,63.0,452.0,,,102770564.70336899,59618.8886380088,
10138,13022,Ballesteros de Calatrava,13,8,57.0,384.0,,,95503376.40417479,42907.8772090562,
10139,13023,Bolaños de Calatrava,13,8,1192.0,11882.0,,,145378998.957642,61638.9765167054,
10140,13024,Brazatortas,13,8,121.0,1020.0,,,445390206.18408203,188060.747311945,
10141,13025,Cabezarados,13,8,50.0,322.0,,,132686156.800293,64668.7652620318,
10142,13026,Cabezarrubias del Puerto,13,8,31.0,490.0,,,164759654.387817,90457.19779256721,
10143,13027,Calzada de Calatrava,13,8,550.0,3911.0,,,674097955.2177731,148976.494758843,
10144,13028,Campo de Criptana,13,8,1269.0,13763.0,,,506589947.513672,129890.402304176,
10145,13029,Cañada de Calatrava,13,8,10.0,103.0,,,49347835.3640137,35744.3606343839,
10146,13030,Caracuel de Calatrava,13,8,13.0,141.0,,,16374544.90979,23251.660779784102,
10147,13031,Carrión de Calatrava,13,8,383.0,3069.0,,,159018112.580078,82542.8250882361,
10148,13032,Carrizosa,13,8,161.0,1251.0,,,42999240.7384033,26779.320340140297,
10149,13033,Castellar de Santiago,13,8,164.0,1966.0,,,156307222.981201,48872.48240748,
10150,13034,Ciudad Real,13,8,7166.0,74641.0,,,472158621.662964,170632.71026484,
10151,13035,Corral de Calatrava,13,8,146.0,1153.0,,,245816345.61865202,108577.075082095,
10152,13036,"Cortijos, Los",13,8,91.0,904.0,,,158757741.651489,56111.3140529802,
10153,13037,Cózar,13,8,87.0,1017.0,,,106748367.140991,45362.6425091286,
10154,13038,Chillón,13,8,198.0,1857.0,,,342667169.15893596,98477.53292008211,
10155,13039,Daimiel,13,8,2369.0,18176.0,,,728111321.768188,146373.531616593,
10156,13040,Fernán Caballero,13,8,134.0,1027.0,,,172976471.513428,72076.6007258818,
10157,13041,Fontanarejo,13,8,36.0,265.0,,,128328321.27832,71800.3832101682,
10158,13042,Fuencaliente,13,8,164.0,1028.0,,,440409411.64770496,115622.120728371,
10159,13043,Fuenllana,13,8,12.0,242.0,,,98757300.64343259,41469.978307017096,
10160,13044,Fuente el Fresno,13,8,400.0,3311.0,,,199450448.45459,93379.93802763801,
10161,13045,Granátula de Calatrava,13,8,98.0,764.0,,,251446742.03930697,98301.129550937,
10162,13046,Guadalmez,13,8,110.0,763.0,,,118455296.52734399,58875.621711177,
10163,13047,Herencia,13,8,989.0,8431.0,,,379170986.172607,124447.029425281,
10164,13048,Hinojosas de Calatrava,13,8,73.0,529.0,,,167895605.687378,74268.10433661871,
10165,13049,Horcajo de los Montes,13,8,116.0,935.0,,,349140693.766846,105116.347263058,
10166,13050,"Labores, Las",13,8,87.0,580.0,,,56955597.176025406,62764.149461111796,
10167,13051,Luciana,13,8,57.0,382.0,,,188685283.50293002,87320.9189969221,
10168,13052,Malagón,13,8,888.0,8108.0,,,608501442.8251951,132745.987740999,
10169,13053,Manzanares,13,8,1713.0,18206.0,,,787606278.897583,156901.215948186,
10170,13054,Membrilla,13,8,374.0,6050.0,,,238173121.56543,75431.06897965599,
10171,13055,Mestanza,13,8,88.0,711.0,,,604751437.757446,130893.770211165,
10172,13056,Miguelturra,13,8,1740.0,15225.0,,,196379595.723511,99652.1427016315,
10173,13057,Montiel,13,8,172.0,1364.0,,,445559624.01403797,328719.60323895,
10174,13058,Moral de Calatrava,13,8,558.0,5309.0,,,310207411.143799,97480.62829380961,
10175,13059,Navalpino,13,8,29.0,231.0,,,327878661.486328,80174.0592137958,
10176,13060,Navas de Estena,13,8,29.0,246.0,,,246176112.17675802,87540.7517710458,
10177,13061,Pedro Muñoz,13,8,925.0,7467.0,,,169886257.135376,69068.3945029017,
10178,13062,Picón,13,8,67.0,671.0,,,98927791.23156741,56204.5505502013,
10179,13063,Piedrabuena,13,8,567.0,4517.0,,,939763127.06189,164634.460295142,
10180,13064,Poblete,13,8,238.0,2465.0,,,46029546.7088623,43586.181011711604,
10181,13065,Porzuna,13,8,478.0,3633.0,,,353336948.946655,97838.9618493886,
10182,13066,Pozuelo de Calatrava,13,8,398.0,3382.0,,,164598869.51709,73332.5252963534,
10183,13067,"Pozuelos de Calatrava, Los",13,8,58.0,385.0,,,138976158.261841,50685.7260698094,
10184,13068,Puebla de Don Rodrigo,13,8,156.0,1213.0,,,706556857.272217,139891.96464204698,
10185,13069,Puebla del Príncipe,13,8,71.0,729.0,,,55648163.47863771,31178.6238417461,
10186,13070,Puerto Lápice,13,8,83.0,947.0,,,91656184.23083499,60722.9402180433,
10187,13071,Puertollano,13,8,6376.0,48477.0,,,372304368.071777,103744.795433546,
10188,13072,Retuerta del Bullaque,13,8,100.0,991.0,,,1097444568.40149,205682.747493981,
10189,13073,Saceruela,13,8,94.0,596.0,,,409572269.574463,89636.7700623371,
10190,13074,San Carlos del Valle,13,8,89.0,1143.0,,,95554871.8226318,35648.3454100136,
10191,13075,San Lorenzo de Calatrava,13,8,9.0,212.0,,,172725221.870972,67309.8104715071,
10192,13076,Santa Cruz de los Cáñamos,13,8,83.0,530.0,,,29079676.516357396,20543.25012542,
10193,13077,Santa Cruz de Mudela,13,8,412.0,4195.0,,,220947035.88000497,70527.6460525773,
10194,13078,Socuéllamos,13,8,1163.0,12342.0,,,624771377.770508,126498.942335574,
10195,13079,"Solana, La",13,8,1776.0,15640.0,,,222029647.037354,69834.7685517778,
10196,13080,Solana del Pino,13,8,43.0,336.0,,,294120180.108765,82696.0692112172,
10197,13081,Terrinches,13,8,102.0,711.0,,,90995132.6508789,41739.2028109182,
10198,13082,Tomelloso,13,8,4518.0,36281.0,,,403315630.01452595,103836.476853061,
10199,13083,Torralba de Calatrava,13,8,286.0,3006.0,,,168671328.692261,85730.32750973241,
10200,13084,Torre de Juan Abad,13,8,86.0,1035.0,,,655429627.4501951,227288.68646310302,
10201,13085,Torrenueva,13,8,275.0,2788.0,,,233321367.34289598,62775.4121616178,
10202,13086,Valdemanco del Esteras,13,8,13.0,178.0,,,235906317.839355,97614.3333345751,
10203,13087,Valdepeñas,13,8,3064.0,30224.0,,,803761030.746216,147133.12270242,
10204,13088,Valenzuela de Calatrava,13,8,90.0,700.0,,,72755320.7553711,39997.689253420096,
10205,13089,Villahermosa,13,8,142.0,1908.0,,,598753669.0133059,103413.362109134,
10206,13090,Villamanrique,13,8,133.0,1210.0,,,605155383.6646731,135466.879708872,
10207,13091,Villamayor de Calatrava,13,8,56.0,615.0,,,238739600.493164,76261.1893585284,
10208,13092,Villanueva de la Fuente,13,8,309.0,2185.0,,,212250381.149414,67016.3665609623,
10209,13093,Villanueva de los Infantes,13,8,401.0,5064.0,,,222203960.48364303,67172.3167545842,
10210,13094,Villanueva de San Carlos,13,8,18.0,308.0,,,179160219.715698,64085.699343807595,
10211,13095,Villar del Pozo,13,8,4.0,89.0,,,21847482.612060502,28523.379755215497,
10212,13096,Villarrubia de los Ojos,13,8,1339.0,10026.0,,,470185135.067871,109811.714394398,
10213,13097,Villarta de San Juan,13,8,307.0,2863.0,,,110099803.868652,54635.0865649204,
10214,13098,Viso del Marqués,13,8,218.0,2378.0,,,872142945.731689,200910.337795592,
10215,13901,"Robledo, El",13,8,142.0,1111.0,,,175963989.269043,64217.3515340476,
10216,13902,Ruidera,13,8,81.0,558.0,,,65002610.3508301,50297.0175280055,
10217,13903,Arenales de San Gregorio,13,8,61.0,622.0,,,52156417.5053711,36984.229770457205,
10218,13904,Llanos del Caudillo,13,8,70.0,722.0,,,33254402.747802697,27582.5593111841,
10219,14001,Adamuz,14,1,246.0,4236.0,,,538979145.228271,125465.38380166,
10220,14002,Aguilar de la Frontera,14,1,929.0,13476.0,,,264627936.62988302,143254.06548338901,
10221,14003,Alcaracejos,14,1,165.0,1496.0,,,285557109.807373,106711.694349515,
10222,14004,Almedinilla,14,1,125.0,2455.0,,,88209792.4364014,47044.7888082956,
10223,14005,Almodóvar del Río,14,1,1060.0,7982.0,,,277866152.333252,100184.052686355,
10224,14006,Añora,14,1,161.0,1553.0,,,183192316.95898402,112347.048260333,
10225,14007,Baena,14,1,1196.0,19523.0,,,579727510.3735349,130301.58847912,
10226,14008,Belalcázar,14,1,436.0,3336.0,,,584145413.730957,148011.55040210098,
10227,14009,Belmez,14,1,483.0,2913.0,,,336944731.76123,93387.5861333792,
10228,14010,Benamejí,14,1,268.0,5025.0,,,84325324.6608887,46892.402955369405,
10229,14011,"Blázquez, Los",14,1,106.0,691.0,,,167656640.151123,58935.0055156862,
10230,14012,Bujalance,14,1,456.0,7599.0,,,197837545.411499,86319.3900898591,
10231,14013,Cabra,14,1,1662.0,20557.0,,,364606223.510986,84042.48965548769,
10232,14014,Cañete de las Torres,14,1,120.0,3000.0,,,162702977.666626,82281.9244618225,
10233,14015,Carcabuey,14,1,122.0,2471.0,,,126734793.72570801,47493.974958182196,
10234,14016,Cardeña,14,1,130.0,1532.0,,,833517844.7713621,167916.181929746,
10235,14017,"Carlota, La",14,1,1200.0,14010.0,,,126231264.409668,71354.0278658492,
10236,14018,"Carpio, El",14,1,507.0,4480.0,,,75168530.0383301,45887.67234965481,
10237,14019,Castro del Río,14,1,349.0,7881.0,,,351600068.089355,116111.072911456,
10238,14020,Conquista,14,1,24.0,418.0,,,62870340.543456994,34392.5085757904,
10239,14021,Córdoba,14,1,38807.0,325916.0,,,2028705870.51099,297201.315318295,
10240,14022,Doña Mencía,14,1,195.0,4718.0,,,24220948.753173802,22431.1421565468,
10241,14023,Dos Torres,14,1,249.0,2426.0,,,210919196.99365202,132151.738429164,
10242,14024,Encinas Reales,14,1,184.0,2297.0,,,54032676.27490229,47874.2671670361,
10243,14025,Espejo,14,1,123.0,3375.0,,,89630177.4509277,50166.9212843687,
10244,14026,Espiel,14,1,293.0,2474.0,,,707860526.674561,208162.05817418,
10245,14027,Fernán-Núñez,14,1,899.0,9680.0,,,47639112.9418945,33556.8447026715,
10246,14028,Fuente la Lancha,14,1,61.0,345.0,,,12776253.3681641,20557.1043349701,
10247,14029,Fuente Obejuna,14,1,770.0,4734.0,,,960748971.802002,159311.42136192598,
10248,14030,Fuente Palmera,14,1,708.0,10871.0,,,119617766.119873,140598.907808092,
10249,14031,Fuente-Tójar,14,1,42.0,705.0,,,37682224.1307373,32459.253631238702,
10250,14032,"Granjuela, La",14,1,84.0,474.0,,,91439509.3337402,42684.7983517767,
10251,14033,Guadalcázar,14,1,145.0,1605.0,,,115219742.77124,69228.3241286729,
10252,14034,"Guijo, El",14,1,36.0,355.0,,,110088962.59619099,56760.6106584822,
10253,14035,Hinojosa del Duque,14,1,983.0,6922.0,,,867523210.295654,182297.025044169,
10254,14036,Hornachuelos,14,1,315.0,4575.0,,,1464526752.2529302,247646.817009088,
10255,14037,Iznájar,14,1,141.0,4405.0,,,215683737.966675,75418.5597081078,
10256,14038,Lucena,14,1,4587.0,42511.0,,,556917203.9343259,120711.28847235699,
10257,14039,Luque,14,1,166.0,3051.0,,,224364699.135498,80619.6911017261,
10258,14040,Montalbán de Córdoba,14,1,141.0,4420.0,,,53639946.187011704,47632.430226163604,
10259,14041,Montemayor,14,1,262.0,3902.0,,,92592219.4428711,54426.438291051905,
10260,14042,Montilla,14,1,2217.0,23209.0,,,268708923.691162,84669.5071013056,
10261,14043,Montoro,14,1,761.0,9518.0,,,948090461.7420651,211698.36232319,
10262,14044,Monturque,14,1,112.0,1994.0,,,52204378.8117676,38726.3740726318,
10263,14045,Moriles,14,1,235.0,3775.0,,,31077386.1923828,38431.6223479602,
10264,14046,Nueva Carteya,14,1,147.0,5396.0,,,110403292.340088,55959.8854886442,
10265,14047,Obejo,14,1,210.0,2011.0,,,346938587.187012,107889.47574213099,
10266,14048,Palenciana,14,1,82.0,1515.0,,,25454524.008789103,25145.0190041309,
10267,14049,Palma del Río,14,1,1584.0,21162.0,,,320077206.184082,108335.950527669,
10268,14050,Pedro Abad,14,1,323.0,2864.0,,,37806416.5202637,30228.0204149817,
10269,14051,Pedroche,14,1,173.0,1567.0,,,198489646.22656298,89015.1241885743,
10270,14052,Peñarroya-Pueblonuevo,14,1,1789.0,11031.0,,,105707649.28198199,66111.7397083657,
10271,14053,Posadas,14,1,645.0,7411.0,,,257397621.02124,75108.22382169019,
10272,14054,Pozoblanco,14,1,1674.0,17285.0,,,535992141.984375,192144.17284824103,
10273,14055,Priego de Córdoba,14,1,1643.0,22697.0,,,457972706.14502,146399.842408891,
10274,14056,Puente Genil,14,1,3317.0,30173.0,,,271533996.891113,84703.16638061349,
10275,14057,"Rambla, La",14,1,551.0,7547.0,,,216341105.124756,147801.05737204,
10276,14058,Rute,14,1,508.0,9994.0,,,209787198.707031,68778.9308239033,
10277,14059,San Sebastián de los Ballesteros,14,1,48.0,808.0,,,16869408.3881836,35908.758076214,
10278,14060,Santaella,14,1,329.0,6049.0,,,432874362.809082,110939.21264077301,
10279,14061,Santa Eufemia,14,1,91.0,794.0,,,307239867.43042004,113649.137235193,
10280,14062,Torrecampo,14,1,106.0,1123.0,,,321053755.854004,106176.45273997,
10281,14063,Valenzuela,14,1,23.0,1189.0,,,30940253.525634803,26534.664821407598,
10282,14064,Valsequillo,14,1,41.0,367.0,,,198974088.20263702,68413.8226829621,
10283,14065,"Victoria, La",14,1,193.0,2327.0,,,30952066.0029297,47637.756789229294,
10284,14066,Villa del Río,14,1,619.0,7251.0,,,35581057.8931885,36617.7358612708,
10285,14067,Villafranca de Córdoba,14,1,489.0,4886.0,,,93908540.6564941,53548.2153275765,
10286,14068,Villaharta,14,1,67.0,662.0,,,19369509.3034668,18975.3880341099,
10287,14069,Villanueva de Córdoba,14,1,663.0,8886.0,,,698046192.4562991,147550.530897157,
10288,14070,Villanueva del Duque,14,1,142.0,1504.0,,,224127336.15673798,111006.293859073,
10289,14071,Villanueva del Rey,14,1,139.0,1081.0,,,349440698.55664104,91422.76652536119,
10290,14072,Villaralto,14,1,61.0,1171.0,,,39304083.6911621,29193.420174632203,
10291,14073,Villaviciosa de Córdoba,14,1,373.0,3347.0,,,755079845.060303,145845.639774772,
10292,14074,"Viso, El",14,1,221.0,2586.0,,,417022969.75707996,177218.906892791,
10293,14075,Zuheros,14,1,29.0,644.0,,,67391962.7659912,33924.1376899288,
10294,15001,Abegondo,15,12,294.0,5467.0,,,158010617.98291,82557.9546291771,
10295,15002,Ames,15,12,2206.0,30835.0,,,149230987.866211,97579.11063129881,
10296,15003,Aranga,15,12,73.0,1935.0,,,226433668.200195,83047.1694451306,
10297,15004,Ares,15,12,500.0,5658.0,,,34701932.7675781,47549.370821747194,
10298,15005,Arteixo,15,12,2563.0,31534.0,,,176328367.754395,79956.2143874584,
10299,15006,Arzúa,15,12,360.0,6123.0,,,290043985.733887,106376.997651142,
10300,15007,"Baña, A",15,12,247.0,3541.0,,,183084297.354004,72735.3173253459,
10301,15008,Bergondo,15,12,435.0,6623.0,,,61829028.323730506,36963.1945726045,
10302,15009,Betanzos,15,12,948.0,12941.0,,,45772289.206543,44364.4305040167,
10303,15010,Boimorto,15,12,84.0,2040.0,,,154109616.945801,78077.25536186059,
10304,15011,Boiro,15,12,1448.0,18885.0,,,160186033.90331998,84745.5663392947,
10305,15012,Boqueixón,15,12,228.0,4242.0,,,136126198.180664,74232.4321042597,
10306,15013,Brión,15,12,473.0,7699.0,,,139426239.329102,82400.1495006957,
